sample_id,problem_id,label,span_primary_m,span_secondary_m,y,y_p,penalty_ratio,feasible_constraints,computation_successful,max_constraint_value,n_violated_constraints,violated_constraints,analysis_error,slab_depth_mm,reinforcement_spacing_lay_1_mm,reinforcement_spacing_lay_2_mm,reinforcement_spacing_lay_3_mm,reinforcement_layer_active_2_,reinforcement_layer_active_3_,reinforcement_diameter_mm,concrete_grade_MPa,beam_depth_mm,beam_reinforcement_diameter_mm,beam_reinforcement_spacing_lay_1_mm,beam_reinforcement_spacing_lay_2_mm,beam_reinforcement_layer_active_2_
627,4,h_var_10m,10.0,8.0,99.84446854036173,43648.178181952586,437.1617058015386,False,True,3.452796252163478,4,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|vibration_f_min_Hz,,150.0,52.6,58.8,47.6,1.0,0.0,10.0,90.0,600.0,28.0,60.0,120.0,0.0
628,4,h_var_10m,10.0,8.0,81.38563911518449,265813.23958056513,3266.0951301784535,False,True,6.309104286390394,7,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,140.0,34.5,111.1,47.6,0.0,1.0,10.0,35.0,400.0,16.0,30.0,40.0,1.0
629,4,h_var_10m,10.0,8.0,91.57996852310498,65783.26531068863,718.3150024133495,False,True,2.9232268651834574,7,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,210.0,52.6,38.5,71.4,0.0,1.0,10.0,35.0,350.0,28.0,34.29,120.0,0.0
630,4,h_var_10m,10.0,8.0,346.4029151613294,10008.283404439171,28.892029963945415,False,True,1.9912205153017175,5,w_allowed_inc_|min_reinforcement_spacing_lay_2|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_,,360.0,142.9,45.5,100.0,1.0,1.0,28.0,90.0,500.0,20.0,30.0,40.0,0.0
631,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=124440000.0 is outside of the moment–curvature range of the cross-section [48411.001801031176, 112705499.44186619]",160.0,76.9,250.0,37.0,1.0,0.0,20.0,50.0,250.0,10.0,30.0,40.0,1.0
632,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=120240000.0 is outside of the moment–curvature range of the cross-section [91952.77538556966, 118489916.4764051]",250.0,62.5,83.3,250.0,0.0,1.0,16.0,30.0,350.0,10.0,34.29,120.0,1.0
633,4,h_var_10m,10.0,8.0,145.9340200467541,31461.575907437615,215.5876737813294,False,True,2.860584355917419,7,w_allowed_tinf_|w_allowed_inc_|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,,340.0,40.0,45.5,38.5,0.0,0.0,16.0,25.0,600.0,24.0,21.82,24.0,1.0
634,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=243000000.0 is outside of the moment–curvature range of the cross-section [212951.48844032182, 238461341.90847486]",240.0,58.8,100.0,38.5,1.0,1.0,14.0,30.0,300.0,28.0,40.0,26.67,1.0
635,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=111125000.0 is outside of the moment–curvature range of the cross-section [69146.46518859529, 98375346.75349633]",170.0,125.0,76.9,47.6,1.0,1.0,12.0,16.0,250.0,16.0,24.0,60.0,0.0
636,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=125985000.0 is outside of the moment–curvature range of the cross-section [43891.714238743894, 120024329.00885196]",370.0,41.7,125.0,125.0,1.0,1.0,12.0,50.0,200.0,32.0,80.0,21.82,0.0
