sample_id,problem_id,label,span_primary_m,span_secondary_m,y,y_p,penalty_ratio,feasible_constraints,computation_successful,max_constraint_value,n_violated_constraints,violated_constraints,analysis_error,slab_depth_mm,reinforcement_spacing_lay_1_mm,reinforcement_spacing_lay_2_mm,reinforcement_spacing_lay_3_mm,reinforcement_layer_active_2_,reinforcement_layer_active_3_,reinforcement_diameter_mm,concrete_grade_MPa,beam_depth_mm,beam_reinforcement_diameter_mm,beam_reinforcement_spacing_lay_1_mm,beam_reinforcement_spacing_lay_2_mm,beam_reinforcement_layer_active_2_
1157,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=242172000.0 is outside of the moment–curvature range of the cross-section [340333.8691968898, 241003684.75713533]",350.0,33.3,37.0,66.7,1.0,0.0,14.0,16.0,350.0,28.0,24.0,40.0,0.0
1158,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Deflection integration failed (M outside M–χ range): [deflection_integration] Moment value=23100000.0 is outside of the moment–curvature range of the cross-section [214587.03762217722, 0.48925239718329855]",180.0,76.9,34.5,52.6,0.0,1.0,32.0,80.0,550.0,12.0,21.82,48.0,0.0
1159,3,h_var_8m,8.0,8.0,201.7066587191049,4311.388147723337,21.37454546667863,False,True,2.141904213694758,3,w_allowed_inc_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,250.0,62.5,33.3,34.5,1.0,1.0,14.0,80.0,400.0,20.0,24.0,120.0,0.0
1160,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Deflection integration failed (M outside M–χ range): [deflection_integration] Moment value=63600000.0 is outside of the moment–curvature range of the cross-section [183273.75375402052, 59598665.70144854]",340.0,76.9,76.9,166.7,0.0,1.0,10.0,30.0,250.0,14.0,34.29,80.0,1.0
1161,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam M-χ failed: Maximum number of iterations reached.
Last iteration reached a unbalance of:                 dn_a = -144997.5925882676 dn_b = 0.0)",170.0,47.6,50.0,125.0,1.0,1.0,20.0,35.0,350.0,16.0,120.0,48.0,0.0
1162,3,h_var_8m,8.0,8.0,125.60260147972676,1683.3819973286008,13.402445311614917,False,True,1.8647733855225548,2,w_allowed_inc_|beam_bending_capacity_,,320.0,111.1,45.5,66.7,0.0,1.0,16.0,30.0,600.0,16.0,40.0,120.0,0.0
1163,3,h_var_8m,8.0,8.0,66.7362719547334,294868.65962999285,4418.416716924187,False,True,6.5398376402296545,6,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|max_reinforcement_spacing_lay_1|beam_bending_capacity_|beam_deflection_tinf_,,120.0,250.0,50.0,62.5,0.0,0.0,28.0,30.0,300.0,24.0,80.0,120.0,1.0
1164,3,h_var_8m,8.0,8.0,172.70228982804366,15670.224373418592,90.73547541854327,False,True,2.8966084626150708,5,w_allowed_tinf_|w_allowed_inc_|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,220.0,40.0,166.7,55.6,1.0,1.0,16.0,60.0,350.0,16.0,20.0,34.29,1.0
1165,3,h_var_8m,8.0,8.0,97.20200482600575,20158.51843091585,207.387887389773,False,True,2.931917334405014,5,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|max_reinforcement_spacing_lay_1|beam_min_spacing_lay_1_,,170.0,200.0,71.4,43.5,0.0,1.0,12.0,35.0,500.0,32.0,40.0,21.82,0.0
1166,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=83028000.00000001 is outside of the moment–curvature range of the cross-section [37708.656573343695, 75822353.09380123]",290.0,200.0,66.7,66.7,1.0,1.0,28.0,55.0,250.0,16.0,80.0,34.29,0.0
1167,3,h_var_8m,8.0,8.0,262.02442430649336,73079.13975614953,278.9020143811781,False,True,3.748844255165549,5,w_allowed_tinf_|w_allowed_inc_|max_reinforcement|reinforcement_outside_cross_section|beam_min_spacing_lay_1_,,160.0,55.6,55.6,76.9,1.0,1.0,24.0,50.0,450.0,24.0,21.82,80.0,1.0
1168,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Deflection integration failed (M outside M–χ range): [deflection_integration] Moment value=19600000.0 is outside of the moment–curvature range of the cross-section [91158.41918598149, -0.30982380272641574]",140.0,55.6,45.5,41.7,0.0,1.0,24.0,35.0,350.0,14.0,20.0,20.0,0.0
1169,3,h_var_8m,8.0,8.0,165.02189474016146,549.5558649683095,3.3301997037037037,False,True,1.4933333333333334,1,beam_min_spacing_lay_1_,,300.0,38.5,41.7,100.0,0.0,1.0,10.0,80.0,500.0,28.0,40.0,60.0,1.0
1170,3,h_var_8m,8.0,8.0,173.9591190237502,18511.36938244834,106.41218170299558,False,True,2.5708874957440826,7,w_allowed_tinf_|w_allowed_inc_|max_reinforcement|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_min_spacing_lay_1_|beam_deflection_tinf_,,130.0,62.5,100.0,37.0,0.0,1.0,20.0,50.0,350.0,24.0,24.0,48.0,0.0
1171,3,h_var_8m,8.0,8.0,97.0453831777181,12321.166384921517,126.96293199603227,False,True,2.7079148612173713,5,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|beam_bending_capacity_|beam_deflection_tinf_,,150.0,111.1,33.3,41.7,0.0,1.0,12.0,70.0,350.0,16.0,80.0,48.0,1.0
1172,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Moment–curvature calculation failed: Maximum number of iterations reached.
Last iteration reached a unbalance of:                 dn_a = -14993.760221357457 dn_b = 0.0)",370.0,76.9,100.0,45.5,0.0,0.0,16.0,35.0,450.0,28.0,30.0,34.29,0.0
1173,3,h_var_8m,8.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,24,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=174812000.00000003 is outside of the moment–curvature range of the cross-section [124403.98835446322, 170266969.61661234]",190.0,250.0,34.5,66.7,1.0,1.0,32.0,20.0,350.0,10.0,30.0,34.29,1.0
