evaluations raw_y y y_p misses hits c__w_allowed_tinf_ c__w_allowed_inc_ c__bending_capacity_ c__shear_VRd_max_ c__min_slab_depth_fire_ c__min_reinforcement_crack_ c__min_reinforcement_ductility_ c__max_reinforcement c__max_reinforcement_spacing_lay_1 c__max_reinforcement_spacing_lay_2 c__max_reinforcement_spacing_lay_3 c__min_reinforcement_spacing_lay_1 c__min_reinforcement_spacing_lay_2 c__min_reinforcement_spacing_lay_3 c__reinforcement_outside_cross_section c__beam_bending_capacity_ c__beam_shear_VRd_max_ c__beam_min_width_fire_ c__beam_min_reinforcement_crack_ c__beam_min_reinforcement_duct_ c__beam_max_reinforcement_ c__beam_min_spacing_lay_1_ c__beam_min_spacing_lay_2_ c__beam_deflection_tinf_ var__slab_depth_mm var__reinforcement_spacing_lay_1_mm var__reinforcement_spacing_lay_2_mm var__reinforcement_spacing_lay_3_mm var__reinforcement_layer_active_2_ var__reinforcement_layer_active_3_ var__reinforcement_diameter_mm var__concrete_grade_MPa var__beam_depth_mm var__beam_reinforcement_diameter_mm var__beam_reinforcement_spacing_lay_1_mm var__beam_reinforcement_spacing_lay_2_mm var__beam_reinforcement_layer_active_2_
21 7088.3515405777 175.1898771821 7088.3515405777 21.0000000000 504.0000000000 0.0000000000 1.7056957090 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2422799763 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2000000000 0.0000000000 0.2850633893 240.0000000000 71.4000000000 200.0000000000 43.5000000000 0.0000000000 1.0000000000 20.0000000000 35.0000000000 400.0000000000 12.0000000000 20.0000000000 40.0000000000 1.0000000000
22 11654.4278109913 181.0991825055 11654.4278109913 22.0000000000 528.0000000000 0.2506265848 2.6343183289 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0024132086 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1200000000 0.0000000000 170.0000000000 50.0000000000 52.6000000000 40.0000000000 1.0000000000 1.0000000000 16.0000000000 45.0000000000 550.0000000000 12.0000000000 34.2900000000 21.8200000000 1.0000000000
23 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 23.0000000000 552.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 220.0000000000 200.0000000000 83.3000000000 41.7000000000 0.0000000000 0.0000000000 14.0000000000 70.0000000000 600.0000000000 16.0000000000 20.0000000000 26.6700000000 1.0000000000
24 302.1481806072 215.0631068689 302.1481806072 24.0000000000 576.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1200000000 0.0000000000 0.0000000000 330.0000000000 83.3000000000 33.3000000000 111.1000000000 1.0000000000 1.0000000000 14.0000000000 90.0000000000 550.0000000000 12.0000000000 21.8200000000 24.0000000000 1.0000000000
25 9959.6752799494 130.6327044431 9959.6752799494 25.0000000000 600.0000000000 0.0000000000 2.0991649369 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.9174811890 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2236652959 240.0000000000 71.4000000000 35.7000000000 37.0000000000 0.0000000000 1.0000000000 16.0000000000 25.0000000000 500.0000000000 10.0000000000 24.0000000000 20.0000000000 0.0000000000
26 2346.5964473312 255.6188489867 2346.5964473312 26.0000000000 624.0000000000 0.0000000000 0.6751975319 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3920000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0266666667 0.0000000000 0.0000000000 280.0000000000 111.1000000000 90.9000000000 34.5000000000 0.0000000000 1.0000000000 24.0000000000 55.0000000000 550.0000000000 14.0000000000 26.6700000000 80.0000000000 1.0000000000
27 2330.8240683882 185.1061817544 2330.8240683882 27.0000000000 648.0000000000 0.0000000000 0.5531298840 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1733333333 0.6000000000 0.0000000000 350.0000000000 125.0000000000 45.5000000000 41.7000000000 1.0000000000 1.0000000000 14.0000000000 35.0000000000 500.0000000000 16.0000000000 26.6700000000 20.0000000000 1.0000000000
28 38166.0370341554 211.1444250751 38166.0370341554 28.0000000000 672.0000000000 0.0000000000 0.0518279323 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.6351615109 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.6000000000 0.0666666667 2.3004742353 330.0000000000 58.8000000000 37.0000000000 100.0000000000 1.0000000000 1.0000000000 14.0000000000 80.0000000000 250.0000000000 16.0000000000 20.0000000000 30.0000000000 1.0000000000
29 1616.3592688123 163.3592896359 1616.3592688123 29.0000000000 696.0000000000 0.0000000000 0.9186740805 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.2281577241 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 250.0000000000 40.0000000000 43.5000000000 34.5000000000 0.0000000000 1.0000000000 14.0000000000 50.0000000000 450.0000000000 10.0000000000 26.6700000000 24.0000000000 1.0000000000
30 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 30.0000000000 720.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 190.0000000000 38.5000000000 90.9000000000 62.5000000000 0.0000000000 1.0000000000 20.0000000000 90.0000000000 500.0000000000 14.0000000000 34.2900000000 24.0000000000 0.0000000000
31 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 31.0000000000 744.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 270.0000000000 90.9000000000 66.7000000000 33.3000000000 0.0000000000 1.0000000000 10.0000000000 90.0000000000 600.0000000000 10.0000000000 40.0000000000 21.8200000000 0.0000000000
